X82,nd,bra,pre,par,ama,ind,total,nao_bra_prop,nao_bra_prop_declarados
35002136,164,330,15,89,1,1,600,44.99999999999999,24.311926605504585
35002148,179,390,14,116,1,1,701,44.36519258202568,25.287356321839084
35002159,74,124,10,37,2,0,247,49.79757085020243,28.32369942196532
35002161,130,343,24,93,2,0,592,42.060810810810814,25.757575757575758
35002173,267,826,23,105,4,0,1225,32.57142857142858,13.778705636743215
35002185,539,690,48,257,9,5,1548,55.42635658914728,31.615460852329036
35002197,231,802,46,170,26,3,1278,37.24569640062598,23.40019102196753
35002203,92,340,18,92,7,0,549,38.06921675774135,25.601750547045953
35002227,215,341,37,157,3,3,756,54.89417989417989,36.96857670979667
35002239,115,251,9,127,0,0,502,50,35.1421188630491
35002240,126,396,17,76,0,0,615,35.609756097560975,19.018404907975462
35002252,327,788,61,233,8,2,1419,44.46793516560958,27.83882783882784
35002264,484,828,79,445,8,5,1849,55.2190373174689,39.34065934065934
35002276,1,165,15,195,1,1,378,56.34920634920635,56.233421750663126
35002288,266,210,14,76,1,0,567,62.96296296296296,30.23255813953488
35002297,121,527,55,184,1,3,891,40.85297418630752,31.558441558441565
35002318,394,935,70,320,3,1,1723,45.7341845618108,29.646350639578635
35002331,273,1027,56,450,8,4,1818,43.50935093509351,33.52750809061489
35002343,372,263,46,124,4,0,809,67.49072929542646,39.81693363844394
35002355,202,108,9,39,0,0,358,69.83240223463687,30.76923076923077
35002367,190,238,16,74,1,1,520,54.23076923076924,27.878787878787882
35002379,153,100,7,69,7,9,345,71.01449275362319,47.916666666666664
35002380,570,321,16,212,6,9,1134,71.6931216931217,43.08510638297872
35002392,236,264,19,80,2,0,601,56.07321131447587,27.671232876712327
35002409,275,208,33,98,3,0,617,66.28849270664506,39.18128654970761
35002410,283,233,27,84,2,3,632,63.13291139240506,33.2378223495702
35002422,268,1017,107,332,5,1,1730,41.213872832369944,30.437756497948023
35002434,170,226,26,85,2,0,509,55.5992141453831,33.333333333333336
35002446,240,238,14,102,5,5,604,60.59602649006622,34.61538461538461
35002458,89,238,19,122,1,0,469,49.25373134328358,37.36842105263158
35002461,128,186,9,84,2,3,412,54.85436893203883,34.50704225352113
35002471,208,357,31,161,4,0,761,53.088042049934295,35.44303797468354
35002483,54,83,12,40,0,2,191,56.544502617801044,39.41605839416058
35002513,486,731,32,305,5,8,1567,53.35035098915124,32.37742830712303
35002525,423,426,39,225,5,12,1130,62.30088495575221,39.74540311173974
35002537,52,296,35,129,2,1,515,42.5242718446602,36.06911447084234
35002549,200,438,40,127,2,1,808,45.792079207920786,27.96052631578947
35002550,90,134,13,49,2,0,288,53.47222222222222,32.32323232323232
35002562,273,431,46,209,8,0,967,55.42916235780766,37.89625360230547
35002574,188,474,27,102,5,0,796,40.45226130653267,22.03947368421053
35002586,397,564,45,200,3,11,1220,53.77049180327869,31.470230862697445
35002598,215,252,27,185,1,1,681,62.99559471365639,45.922746781115876
35002616,311,467,65,278,0,2,1123,58.414959928762244,42.487684729064036
35002628,618,635,56,300,5,0,1614,60.65675340768277,36.24497991967871
35002636,336,539,75,273,3,3,1229,56.143205858421474,39.641657334826434
35002641,93,388,24,112,1,1,619,37.31825525040387,26.23574144486692
35002653,182,452,27,160,2,0,823,45.078979343863914,29.485179407176286
35002665,337,125,11,105,3,7,588,78.74149659863946,50.199203187250994
35002677,235,399,34,148,1,1,818,51.22249388753056,31.560891938250425
35002689,97,131,15,83,1,1,328,60.0609756097561,43.290043290043286
35002690,335,373,51,235,2,1,997,62.58776328986961,43.65558912386707
35002707,596,699,55,364,7,7,1728,59.548611111111114,38.25088339222616
35002719,238,266,28,180,2,4,718,62.95264623955432,44.58333333333333
35002720,203,323,53,219,1,3,802,59.725685785536164,46.076794657762946
35002732,381,272,27,162,4,10,856,68.22429906542055,42.736842105263165
35002744,173,467,36,261,1,1,939,50.26624068157615,39.03394255874674
35002756,491,222,14,108,2,2,839,73.5399284862932,36.206896551724135
35002768,573,165,10,57,2,0,807,79.5539033457249,29.487179487179482
35002773,534,499,43,383,5,15,1479,66.26098715348208,47.19576719576719
35002781,433,157,11,80,0,0,681,76.94566813509545,36.693548387096776
35002793,265,138,6,81,1,2,493,72.00811359026369,39.473684210526315
35002800,255,295,51,187,0,1,789,62.61089987325729,44.756554307116104
35002811,721,662,48,239,4,3,1677,60.52474657125819,30.753138075313814
35002823,279,207,15,90,1,0,592,65.03378378378379,33.86581469648562
35002835,325,262,24,210,0,0,821,68.08769792935445,47.17741935483871
35002847,570,517,29,239,3,6,1364,62.096774193548384,34.88664987405542
35002859,705,606,65,585,4,2,1967,69.1916624300966,51.98098256735341
35002860,527,457,59,452,1,2,1498,69.49265687583444,52.9351184346035
35002872,397,135,8,82,1,0,623,78.330658105939,40.26548672566371
35002884,123,189,21,133,0,3,469,59.70149253731343,45.3757225433526
35002896,199,306,30,229,0,0,764,59.94764397905759,45.84070796460177
35002902,470,686,45,404,11,2,1618,57.60197775030902,40.243902439024396
35002914,380,672,49,473,3,2,1579,57.44141861937935,43.95329441201001
35002926,354,355,30,240,4,2,985,63.959390862944154,43.74009508716323
35002938,473,213,16,142,0,0,844,74.76303317535545,42.58760107816711
35002948,490,242,21,184,1,1,939,74.22790202342918,46.10244988864143
35002951,77,104,8,60,0,0,249,58.23293172690763,39.53488372093024
35002963,465,300,31,295,1,3,1095,72.6027397260274,52.38095238095239
35002975,301,392,33,261,3,1,991,60.44399596367306,43.188405797101446
35002987,178,240,21,158,4,1,602,60.13289036544851,43.39622641509434
35002999,346,461,23,323,2,1,1156,60.12110726643598,43.086419753086425
35003001,282,271,33,225,3,0,814,66.70761670761671,49.06015037593985
35003013,540,314,34,285,4,1,1178,73.3446519524618,50.78369905956113
35003037,166,243,8,152,1,0,570,57.36842105263158,39.851485148514854
35003049,666,146,9,141,1,1,964,84.85477178423237,51.00671140939597
35003050,628,477,57,373,3,1,1539,69.00584795321637,47.63995609220637
35003062,397,814,62,385,6,1,1665,51.11111111111111,35.80441640378549
35003074,40,299,43,196,1,0,579,48.35924006908463,44.526901669758814
35003086,305,424,17,248,1,2,997,57.47241725175527,38.72832369942196
35003098,373,109,9,42,3,0,536,79.66417910447761,33.12883435582822
35003104,614,766,69,381,10,6,1846,58.504875406283865,37.824675324675326
35003116,310,526,48,263,3,2,1152,54.34027777777778,37.52969121140143
35003128,510,540,38,339,2,5,1434,62.34309623430963,41.55844155844156
35003136,156,138,12,90,0,2,398,65.32663316582914,42.97520661157025
35003141,315,259,18,206,0,2,800,67.625,46.597938144329895
35003153,152,199,34,138,1,1,525,62.095238095238095,46.64879356568365
35003165,413,268,15,95,2,0,793,66.20428751576293,29.47368421052632
35003177,391,166,16,200,0,0,773,78.52522639068565,56.544502617801044
35003189,387,289,28,178,2,1,885,67.34463276836158,41.967871485943775
35003190,232,172,13,94,1,2,514,66.53696498054475,39.00709219858156
35003207,317,113,11,82,1,1,525,78.47619047619048,45.67307692307693
35003219,339,255,10,93,0,0,697,63.41463414634146,28.77094972067039
35003220,572,714,62,477,3,5,1833,61.04746317512275,43.37827121332276
35003232,128,337,11,114,0,0,590,42.88135593220339,27.056277056277057
35003244,320,572,91,466,3,4,1456,60.71428571428572,49.647887323943664
35003256,460,379,54,300,2,2,1197,68.3375104427736,48.575305291723204
35003268,324,259,38,199,1,2,823,68.52976913730255,48.096192384769545
35003273,471,588,54,337,4,0,1454,59.55983493810179,40.18311291963378
